Generation	Loss
0	8515.460966228111
1	8515.43096622811
2	3976.6478589564695
3	3976.6178589564697
4	3976.6178589564697
5	3625.660792993983
6	3625.660792993983
7	3625.660792993983
8	3511.076039474823
9	3511.076039474823
10	3397.7549815122775
11	3330.4201486441816
12	3174.908706646999
13	2765.3467629807856
14	2765.3467629807856
15	2765.3467629807856
16	2765.3467629807856
17	2681.6016899638125
18	2476.158114299769
19	2476.158114299769
20	2476.158114299769
21	2476.158114299769
22	2476.158114299769
23	2476.118114299769
24	2476.118114299769
25	2476.118114299769
26	2476.118114299769
27	2476.118114299769
28	2476.118114299769
29	2455.924236508232
30	2455.924236508232
31	2455.924236508232
32	2455.924236508232
33	2455.924236508232
34	2455.924236508232
35	2455.884236508232
36	2455.884236508232
37	2455.884236508232
38	2455.884236508232
39	2455.884236508232
40	2455.884236508232
41	2455.884236508232
42	2455.884236508232
43	2455.884236508232
44	2455.884236508232
45	2455.884236508232
46	2455.884236508232
47	2455.884236508232
48	2455.884236508232
49	2455.884236508232
50	2455.884236508232
