,Generation,BestFitness
0,1.0,103.23859106676454
1,2.0,92.82767027663014
2,3.0,79.08655527100895
3,4.0,69.61756909835972
4,5.0,59.180702578098966
5,6.0,51.77822303417334
6,7.0,44.909714631049816
7,8.0,36.27041157529463
8,9.0,31.831735069999183
9,10.0,25.816529317079425
10,11.0,23.298069951632325
11,12.0,19.60255894743664
12,13.0,17.287251586184023
13,14.0,14.522898786068824
14,15.0,13.141099280957048
15,16.0,11.058926017014496
16,17.0,9.388904756537716
17,18.0,8.634660904225449
18,19.0,7.5514665422474065
19,20.0,6.640633626623153
20,21.0,6.058597225204418
21,22.0,5.34796741492221
22,23.0,5.095198666762328
23,24.0,4.8388208274113795
24,25.0,4.51878883409142
25,26.0,4.265941228132734
26,27.0,4.024429370393369
27,28.0,3.8658511659792767
28,29.0,3.6373667564049676
29,30.0,3.4798528588040027
30,31.0,3.36089249531223
31,32.0,3.238536224083444
32,33.0,3.1103511233244925
33,34.0,2.9715258033287855
34,35.0,2.857464626178421
35,36.0,2.7826172343969193
36,37.0,2.6868766461423794
37,38.0,2.598348927747985
38,39.0,2.4504823662853594
39,40.0,2.3828273823904786
40,41.0,2.2191631567888654
41,42.0,2.119007994689752
42,43.0,2.0426925055451504
43,44.0,1.952630933755928
44,45.0,1.8273845351782183
45,46.0,1.747790324536601
46,47.0,1.7130299334351744
47,48.0,1.6958324358718877
48,49.0,1.6598483097731207
49,50.0,1.5992519811774895
50,51.0,1.5901703359998771
51,52.0,1.5891396595694247
52,53.0,1.522229504812793
53,54.0,1.4865011624973667
54,55.0,1.4509353996492933
55,56.0,1.3694196160752992
56,57.0,1.3206279616258976
57,58.0,1.2676387799019184
58,59.0,1.144247436939384
59,60.0,1.0891185219966426
60,61.0,1.0338904277672456
61,62.0,0.9358513879414697
62,63.0,0.8683965922624051
63,64.0,0.8167347170760392
64,65.0,0.7548091506084905
65,66.0,0.7466163861113253
66,67.0,0.7181927077263464
67,68.0,0.6851788666084866
68,69.0,0.6637694730535244
69,70.0,0.6505048855625339
70,71.0,0.6454098665921955
71,72.0,0.6309682621142997
72,73.0,0.6309682621142997
73,74.0,0.6138074059361455
74,75.0,0.6052157017063675
75,76.0,0.5880548455282134
76,77.0,0.5759672750241279
77,78.0,0.56737557079435
78,79.0,0.5552880002902645
79,80.0,0.5466962960604865
80,81.0,0.534608725556401
81,82.0,0.534608725556401
82,83.0,0.5104335845482301
83,84.0,0.5104335845482301
84,85.0,0.5104335845482301
85,86.0,0.5104335845482301
86,87.0,0.5072610850479028
87,88.0,0.5072610850479028
88,89.0,0.5040885855475755
89,90.0,0.5040885855475754
90,91.0,0.49760185613351904
91,92.0,0.49760185613351876
92,93.0,0.4942876262197897
93,94.0,0.49428762621978967
94,95.0,0.4909733963060608
95,96.0,0.4869553375137048
96,97.0,0.4868136071003026
97,98.0,0.4803268776862464
98,99.0,0.47399867874499435
99,100.0,0.4731531194529656
100,101.0,0.47294113358249773
101,102.0,0.46451993436496697
102,103.0,0.4619901051145457
103,104.0,0.4605186756320154
104,105.0,0.45820156961783276
105,106.0,0.4488862666779081
106,107.0,0.44491564170198494
107,108.0,0.43600259947629577
108,109.0,0.4259910536491804
109,110.0,0.41269949046772475
110,111.0,0.4116418280656059
111,112.0,0.39850096807054525
112,113.0,0.3959254456177198
113,114.0,0.3878558261484693
114,115.0,0.3785584853348332
115,116.0,0.3736930295492417
116,117.0,0.36016626145338015
117,118.0,0.3521602027200848
118,119.0,0.34617826193127876
119,120.0,0.33541719711572676
120,121.0,0.32778335170087414
121,122.0,0.3247454762890413
122,123.0,0.32263627062655825
123,124.0,0.31959497558734123
124,125.0,0.31375544240331604
125,126.0,0.3086083613289999
126,127.0,0.3061173470806971
127,128.0,0.2964958733308612
128,129.0,0.2963209308615804
129,130.0,0.28326110879756816
130,131.0,0.2806803531218447
131,132.0,0.27118102376297715
132,133.0,0.2700529973294049
133,134.0,0.26106933568337626
134,135.0,0.24630454143485975
135,136.0,0.2407819188013683
136,137.0,0.2361828981615466
137,138.0,0.22797445479712497
138,139.0,0.22697925851709436
139,140.0,0.224161720984287
140,141.0,0.22310637609646236
141,142.0,0.22098432682215902
142,143.0,0.22002565932310095
143,144.0,0.21963293941893264
144,145.0,0.2188392602143983
145,146.0,0.21729969205417365
146,147.0,0.21669419360663575
147,148.0,0.21611329294547066
148,149.0,0.21454912699887546
149,150.0,0.21363864471401892
150,151.0,0.21289275575832925
151,152.0,0.2127277674638052
152,153.0,0.21142456527478087
153,154.0,0.21090640792873513
154,155.0,0.2107834998316169
155,156.0,0.21039073762380897
156,157.0,0.2101608716347626
157,158.0,0.20995589521859503
158,159.0,0.20944022491366898
159,160.0,0.20904746270586086
160,161.0,0.20544291510982524
161,162.0,0.2050501529020168
162,163.0,0.20406144405563734
163,164.0,0.19739205708494426
164,165.0,0.1939326459708817
165,166.0,0.18964923176079954
166,167.0,0.18615164205669105
167,168.0,0.18201698339177785
168,169.0,0.18201517386017993
169,170.0,0.18109230058349482
170,171.0,0.1771998390496228
171,172.0,0.17257535752783462
172,173.0,0.16868289599396238
173,174.0,0.16424276044219674
174,175.0,0.16411985234507853
175,176.0,0.16331807763391418
176,177.0,0.15832017403362297
177,178.0,0.1583201740336227
178,179.0,0.15776240598509694
179,180.0,0.14937014820684347
180,181.0,0.1493701482068434
181,182.0,0.14937014820684336
182,183.0,0.1427925294104547
183,184.0,0.13440027163220117
184,185.0,0.1320187817249393
185,186.0,0.1320187817249393
186,187.0,0.12782265283581254
187,188.0,0.11704890515029713
188,189.0,0.11466741524303524
189,190.0,0.10752294552124961
190,191.0,0.10752294552124961
191,192.0,0.10752294552124961
192,193.0,0.10693759805241214
193,194.0,0.10455610814515026
194,195.0,0.10215737168904321
195,196.0,0.10155477767136087
196,197.0,0.09917328776409899
197,198.0,0.09915604121525418
198,199.0,0.09857069374641654
199,200.0,0.09795085317988957
