,Generation,BestFitness
0,1.0,81.84035803719603
1,2.0,78.86109978289716
2,3.0,74.1811313240029
3,4.0,67.63574368060259
4,5.0,60.172855366433716
5,6.0,57.2275823656228
6,7.0,56.03727500412083
7,8.0,50.753822139332996
8,9.0,46.18596162840458
9,10.0,39.30058051551739
10,11.0,38.09907876417155
11,12.0,35.195439370143866
12,13.0,28.392065371335782
13,14.0,28.187529570933812
14,15.0,24.59729532789112
15,16.0,23.122701680201565
16,17.0,20.79363169658658
17,18.0,17.758369050127236
18,19.0,17.099868040023086
19,20.0,16.81619600843424
20,21.0,14.505805734940367
21,22.0,14.384613123437637
22,23.0,12.843451947958453
23,24.0,11.88680384800216
24,25.0,10.83868411259812
25,26.0,10.297902072425746
26,27.0,9.518948621373323
27,28.0,9.35915829618942
28,29.0,9.082303780469463
29,30.0,8.336963321474515
30,31.0,8.152670898801656
31,32.0,8.040780973604443
32,33.0,7.953666865264601
33,34.0,7.604719592521796
34,35.0,7.041752554000754
35,36.0,7.008419174690289
36,37.0,6.926472104016916
37,38.0,6.792414046192979
38,39.0,6.593402269741183
39,40.0,6.593402269741183
40,41.0,6.5399891457606
41,42.0,6.345035074198502
42,43.0,6.3318038396357466
43,44.0,6.3172291586848
44,45.0,6.278904882001272
45,46.0,6.207948369283924
46,47.0,6.137451499036337
47,48.0,6.137451499036337
48,49.0,5.9275155196886065
49,50.0,5.904415312563649
50,51.0,5.904415312563649
51,52.0,5.847237563662778
52,53.0,5.847237563662778
53,54.0,5.7889565255371
54,55.0,5.442935002940194
55,56.0,5.393464925512357
56,57.0,5.333069528949117
57,58.0,5.051527295151951
58,59.0,5.0204778063387305
59,60.0,4.85996741952985
60,61.0,4.648101454136273
61,62.0,4.597124986574631
62,63.0,4.2898941228634015
63,64.0,4.111583671581767
64,65.0,3.8981395007054416
65,66.0,3.896025142267881
66,67.0,3.7886535776999026
67,68.0,3.7886535776999026
68,69.0,3.5587812768467173
69,70.0,3.53176862684806
70,71.0,3.53176862684806
71,72.0,3.53176862684806
72,73.0,3.2996825000682746
73,74.0,2.9722382380607995
74,75.0,2.9714375118881193
75,76.0,2.9703619663601075
76,77.0,2.941883108872406
77,78.0,2.941082382699726
78,79.0,2.941082382699726
79,80.0,2.937835750549945
80,81.0,2.937835750549945
81,82.0,2.899641394977736
82,83.0,2.694853076337812
83,84.0,2.694853076337812
84,85.0,2.6482114224686066
85,86.0,2.5915552134105004
86,87.0,2.5915552134105004
87,88.0,2.5915552134105004
88,89.0,2.5915552134105004
89,90.0,2.5915552134105004
90,91.0,2.5915552134105004
91,92.0,2.4026915969091323
92,93.0,2.4026915969091323
93,94.0,2.2761800000354118
94,95.0,2.2761800000354118
95,96.0,2.2761800000354118
96,97.0,2.1874405440334943
97,98.0,2.1598960300147656
98,99.0,2.0956631755305386
99,100.0,2.0956631755305386
100,101.0,2.0956631755305386
101,102.0,1.9008391063965209
102,103.0,1.9008391063965209
103,104.0,1.7593488488390239
104,105.0,1.7593488488390239
105,106.0,1.7593488488390239
106,107.0,1.7134443706249876
107,108.0,1.7134443706249876
108,109.0,1.7134443706249876
109,110.0,1.7134443706249876
110,111.0,1.514041189825199
111,112.0,1.514041189825199
112,113.0,1.514041189825199
113,114.0,1.514041189825199
114,115.0,1.5127129775083894
115,116.0,1.5127129775083894
116,117.0,1.4777420746705026
117,118.0,1.4777420746705026
118,119.0,1.4441202216969677
119,120.0,1.4084957550768045
120,121.0,1.4084957550768045
121,122.0,1.4084957550768045
122,123.0,1.360388293453544
123,124.0,1.360388293453544
