,Iteration,Loss,Accuracy
0,0,0.6965966820716858,0.3857479393482208
1,1,0.685656726360321,0.5
2,2,0.6699406504631042,0.6743227243423462
3,3,0.6393614411354065,0.8109540343284607
4,4,0.5936182737350464,0.8203769326210022
5,5,0.5237913727760315,0.8215547800064087
6,6,0.43913179636001587,0.8250883221626282
7,7,0.3722246587276459,0.8321554660797119
8,8,0.344295471906662,0.8368669152259827
9,9,0.34236815571784973,0.8374558091163635
10,10,0.34395328164100647,0.8368669152259827
11,11,0.3393940031528473,0.8368669152259827
12,12,0.33232566714286804,0.8351001143455505
13,13,0.3279878795146942,0.833922266960144
14,14,0.3273852467536926,0.8345111608505249
15,15,0.32808437943458557,0.8351001143455505
16,16,0.3281390964984894,0.8351001143455505
17,17,0.3277174234390259,0.8368669152259827
18,18,0.32864832878112793,0.8327444195747375
19,19,0.3381410539150238,0.8256772756576538
20,20,0.39764660596847534,0.8215547800064087
21,21,0.7088126540184021,0.7020023465156555
22,22,1.3643609285354614,0.6148409843444824
23,23,0.6713641881942749,0.6696113348007202
24,24,0.7297090888023376,0.5541813969612122
25,25,0.4770830571651459,0.8009423017501831
26,26,0.4586215913295746,0.8203769326210022
27,27,0.4627026915550232,0.8203769326210022
28,28,0.369667649269104,0.8374558091163635
29,29,0.36217209696769714,0.8256772756576538
30,30,0.3710288107395172,0.8239104747772217
31,31,0.3388098478317261,0.8386337161064148
32,32,0.33405572175979614,0.8439340591430664
33,33,0.33529171347618103,0.8392226099967957
34,34,0.32602405548095703,0.8415783047676086
35,35,0.32402315735816956,0.8427562117576599
36,36,0.32142212986946106,0.8457008004188538
37,37,0.31662845611572266,0.8415783047676086
38,38,0.3146463632583618,0.833922266960144
39,39,0.31178924441337585,0.8327444195747375
40,40,0.308016836643219,0.849234402179718
41,41,0.3048385679721832,0.851590096950531
42,42,0.3011675477027893,0.8527679443359375
43,43,0.2976301610469818,0.8563015460968018
44,44,0.2944062352180481,0.8557125926017761
45,45,0.2912808060646057,0.8563015460968018
46,46,0.2884884476661682,0.8580682873725891
47,47,0.2858014702796936,0.8598350882530212
48,48,0.2833167016506195,0.8616018891334534
49,49,0.2811126410961151,0.8657243847846985
50,50,0.2789638340473175,0.869257926940918
51,51,0.2769455015659332,0.8704358339309692
