,Generation,BestFitness
0,1.0,83.22544250490535
1,2.0,55.896979036709865
2,3.0,44.66354394458423
3,4.0,38.58025260310168
4,5.0,36.034940648437725
5,6.0,31.43261810449327
6,7.0,26.504207089227048
7,8.0,23.96016479356212
8,9.0,20.102509916266857
9,10.0,18.232867841059793
10,11.0,14.649822890237312
11,12.0,11.116195038981093
12,13.0,10.340766723037593
13,14.0,8.665806819413103
14,15.0,8.091142795237644
15,16.0,7.472607537979665
16,17.0,6.760947641447712
17,18.0,6.282876960670668
18,19.0,5.896015871330914
19,20.0,5.602482410420177
20,21.0,5.218375836841349
21,22.0,4.571744846122305
22,23.0,4.516588351479319
23,24.0,4.311398470533148
24,25.0,4.171870864114615
25,26.0,4.059158148148743
26,27.0,3.8200850968811317
27,28.0,3.693764714419791
28,29.0,3.670813581100185
29,30.0,3.4505697111386717
30,31.0,3.441800764961612
31,32.0,3.4319798295235735
32,33.0,3.4169274562625476
33,34.0,3.3967921781831207
34,35.0,3.266430429320754
35,36.0,3.2305149319090405
36,37.0,3.222069793826397
37,38.0,3.161715910785098
38,39.0,3.1383428923477905
39,40.0,2.9846355273344356
40,41.0,2.967999298286138
41,42.0,2.9466066204960986
42,43.0,2.940779541343397
43,44.0,2.910122729908941
44,45.0,2.9035996897193956
45,46.0,2.89960723638101
46,47.0,2.8800740320875593
47,48.0,2.858395420569091
48,49.0,2.8154158490533696
49,50.0,2.786870928054756
50,51.0,2.783459074842539
51,52.0,2.7733790771970726
52,53.0,2.7443905809934246
53,54.0,2.7388688477641256
54,55.0,2.7379246107437654
55,56.0,2.7338855908794275
56,57.0,2.729081947645725
57,58.0,2.7180909325725517
58,59.0,2.715382435757865
59,60.0,2.7144089531066005
60,61.0,2.713082666214226
61,62.0,2.6878147067325058
62,63.0,2.682433268513047
63,64.0,2.680301136627461
64,65.0,2.6617252470586825
65,66.0,2.655683161963995
66,67.0,2.6534951128245527
67,68.0,2.64979934393113
68,69.0,2.5384328179803184
69,70.0,2.5348111197943566
70,71.0,2.4998752730170084
71,72.0,2.497823619188703
72,73.0,2.4758314660316123
73,74.0,2.4742277928449194
74,75.0,2.4702047471093813
75,76.0,2.46714445363316
76,77.0,2.464909456387681
77,78.0,2.46100267860451
78,79.0,2.450554391123455
79,80.0,2.4445068188119303
80,81.0,2.4354155584093378
81,82.0,2.4324829949410547
82,83.0,2.431491837746168
83,84.0,2.417242783837163
84,85.0,2.4157581440796716
85,86.0,2.4136125923532843
86,87.0,2.410701011954603
87,88.0,2.4085031783313973
88,89.0,2.4072179758572743
89,90.0,2.406127297668418
90,91.0,2.404624163395437
91,92.0,2.4032761379723744
92,93.0,2.3962922856715405
93,94.0,2.3941353546195323
94,95.0,2.3893058291970752
95,96.0,2.3876964008293458
96,97.0,2.385489507783451
97,98.0,2.38317180827293
98,99.0,2.380314340241991
99,100.0,2.3768732239291723
100,101.0,2.374509091370563
101,102.0,2.371381090905417
102,103.0,2.370150746891021
103,104.0,2.368740176054304
104,105.0,2.3603373304586115
105,106.0,2.3591139781779105
106,107.0,2.357187749769678
107,108.0,2.3501359525813728
108,109.0,2.346785527752931
109,110.0,2.3442025242870796
110,111.0,2.3429716832257066
111,112.0,2.3417152715450174
112,113.0,2.3405587165180632
113,114.0,2.339471695614189
114,115.0,2.336900251047215
115,116.0,2.3358713477753543
116,117.0,2.3346766688263254
117,118.0,2.333499280748951
118,119.0,2.3315793229553137
119,120.0,2.271355184947219
120,121.0,2.2710438324669555
121,122.0,2.269690409859657
122,123.0,2.2660878013447268
123,124.0,2.264460033915701
124,125.0,2.26231849148932
125,126.0,2.261909754271192
126,127.0,2.261351535786418
127,128.0,2.260459454824785
128,129.0,2.259676727081035
129,130.0,2.2592915656671457
130,131.0,2.258977560851493
131,132.0,2.2585646659039322
132,133.0,2.257953317253455
133,134.0,2.257205178603864
134,135.0,2.2567518970175735
135,136.0,2.256354005869043
136,137.0,2.2529636322805073
137,138.0,2.2521613989366536
138,139.0,2.2514916884201797
139,140.0,2.246131801198812
140,141.0,2.245583643691358
141,142.0,2.242896892293775
142,143.0,2.241014792079098
143,144.0,2.2407152147429468
144,145.0,2.2397972587377035
145,146.0,2.2394969311502346
146,147.0,2.239196264304902
147,148.0,2.238648156840211
148,149.0,2.2379816926266924
149,150.0,2.2332878449739404
150,151.0,2.2330124182450404
151,152.0,2.2230738012876268
152,153.0,2.2149386102779425
153,154.0,2.213310291606443
154,155.0,2.213307094703527
155,156.0,2.2132424761259837
156,157.0,2.2130893061922814
157,158.0,2.2129215291880415
158,159.0,2.2127720415257373
159,160.0,2.2125415473441716
160,161.0,2.212279151198757
161,162.0,2.2119752416679477
162,163.0,2.2117172423247036
163,164.0,2.2114032084231345
164,165.0,2.2110261335838852
165,166.0,2.2104604890353263
166,167.0,2.210086650570488
167,168.0,2.209690094642225
168,169.0,2.2085739735656533
169,170.0,2.207495380164686
170,171.0,2.205830009616345
171,172.0,2.204401387642915
172,173.0,2.2042590901416674
173,174.0,2.1947201209700715
174,175.0,2.19443377933428
175,176.0,2.1931549676688418
176,177.0,2.1920552956713046
177,178.0,2.1916829650962386
178,179.0,2.1835365047748896
179,180.0,2.1822370952026082
180,181.0,2.1814152990485063
181,182.0,2.179591298869713
182,183.0,2.179206439613973
183,184.0,2.1759654620334645
184,185.0,2.1753575624497343
185,186.0,2.1412401257729115
186,187.0,2.1400798305888555
187,188.0,2.139305985233749
188,189.0,2.1384024036271154
189,190.0,2.137357158405508
190,191.0,2.136332778703184
191,192.0,2.1352369080615143
192,193.0,2.1342310480658253
193,194.0,2.1331447969545847
194,195.0,2.132204770681545
195,196.0,2.1311511768570797
196,197.0,2.130133663396932
197,198.0,2.129149570201215
198,199.0,2.1281213931068566
199,200.0,2.127162766923205
200,201.0,2.126178917938221
201,202.0,2.1252315658012404
202,203.0,2.1242851959772864
203,204.0,2.1233600853577435
204,205.0,2.1223133044981175
205,206.0,2.121430386096881
206,207.0,2.1205465777381844
207,208.0,2.1196650661911542
208,209.0,2.1187972518945175
209,210.0,2.1179300565391936
210,211.0,2.1170853381282604
211,212.0,2.1162508378758047
212,213.0,2.115424737037251
213,214.0,2.11461456829045
214,215.0,2.113814054730193
215,216.0,2.112428063777282
216,217.0,2.111419612164823
217,218.0,2.1106868166348516
218,219.0,2.109554308825804
219,220.0,2.1006225535378915
220,221.0,2.1003590977734268
221,222.0,2.100204923133778
222,223.0,2.1001346294087293
223,224.0,2.1000415593432
224,225.0,2.0999529871796176
225,226.0,2.0998144968796693
226,227.0,2.099388348782045
227,228.0,2.0992180632969464
228,229.0,2.0989582927214263
229,230.0,2.0982578245690613
230,231.0,2.067147562456512
231,232.0,2.0670403857633945
232,233.0,2.06693371020041
233,234.0,2.0495554151716666
234,235.0,2.049466700896386
235,236.0,2.0485622877811567
236,237.0,2.048218871801521
237,238.0,2.0474948675895575
238,239.0,2.0472320004015248
239,240.0,2.046890531548939
240,241.0,2.0464921761607644
241,242.0,2.04611899749184
242,243.0,2.0457354160663788
243,244.0,2.0452616110746495
244,245.0,2.044940066220676
245,246.0,2.044607484599474
246,247.0,2.0441120731969535
247,248.0,2.042036408829368
248,249.0,2.041276137594038
249,250.0,2.0410489905082985
250,251.0,2.040875012440808
251,252.0,2.0406559476275237
252,253.0,2.0402882670160207
253,254.0,2.0400426596457413
254,255.0,2.0396510645568737
255,256.0,2.038229312461371
256,257.0,2.03797556287508
257,258.0,2.0371965086729196
258,259.0,2.0366790643506976
259,260.0,2.036389021199118
260,261.0,2.036073267423519
261,262.0,2.0356028235792336
262,263.0,2.035125704744861
263,264.0,2.0346518678065153
264,265.0,2.034141820128552
265,266.0,2.0336790655035424
266,267.0,2.033228672253661
267,268.0,2.0327404851231043
268,269.0,2.0322886058617335
269,270.0,2.0318439921646885
270,271.0,2.0313850726139147
271,272.0,2.030932188432443
272,273.0,2.0304728147308406
273,274.0,2.0300083660941373
274,275.0,2.0295607708942223
275,276.0,2.029088552967984
276,277.0,2.0286731919498635
277,278.0,2.0282104023471437
278,279.0,2.0277404487162074
279,280.0,2.0272656619421334
280,281.0,2.026788544540328
281,282.0,2.0263190298533464
282,283.0,2.0258429978305887
283,284.0,2.0253855314365112
284,285.0,2.0249299636463505
285,286.0,2.02448135503865
286,287.0,2.0240627693409166
287,288.0,2.0236188178016103
288,289.0,2.0231927929836595
289,290.0,2.0227665217981885
290,291.0,2.022348141168128
291,292.0,2.0219281822913078
292,293.0,2.021514979847975
293,294.0,2.0211010583561815
294,295.0,2.0206925008145067
295,296.0,2.0202860242695797
296,297.0,2.0198888637992467
297,298.0,2.0194997698186903
298,299.0,2.0191126648538793
299,300.0,2.018733755772061
300,301.0,2.018359809918491
301,302.0,2.0179890665537688
302,303.0,2.017624876770635
303,304.0,2.017264809736024
304,305.0,2.016908845431628
305,306.0,2.0165586462739604
306,307.0,2.016210925428699
307,308.0,2.015869582726343
308,309.0,2.01550106011175
309,310.0,2.0151491196067366
310,311.0,2.0148335824441235
311,312.0,2.014511562551786
312,313.0,2.0142010048595256
313,314.0,2.013883994115446
314,315.0,2.0135466141576055
315,316.0,2.013239818312386
316,317.0,2.012939773307509
317,318.0,2.0126221216582634
318,319.0,2.0123112995495838
319,320.0,2.0120002916686386
320,321.0,2.011703588613128
321,322.0,2.0113947392786753
322,323.0,2.0110980550386692
323,324.0,2.0108035030250884
324,325.0,2.010512765866223
325,326.0,2.010227892311727
326,327.0,2.009944935355988
327,328.0,2.0096713898510377
328,329.0,2.009397164555222
329,330.0,2.009127754153038
330,331.0,2.0085504180185794
331,332.0,2.0083733171720475
332,333.0,2.008151931066864
333,334.0,2.0079726135298808
334,335.0,2.0077904103660957
335,336.0,2.007606139522575
336,337.0,2.0073684749397445
337,338.0,2.007196471914388
338,339.0,2.0069830600091425
339,340.0,2.0067500806318237
340,341.0,2.0065164051339517
341,342.0,2.006284736139844
342,343.0,2.006058842714201
343,344.0,2.005838610771133
344,345.0,2.0056162642782156
345,346.0,2.005389993373434
346,347.0,2.005163910349481
347,348.0,2.004938344668027
348,349.0,2.004723617566972
349,350.0,2.004510183492009
350,351.0,2.0042934549871676
351,352.0,2.004082803255347
352,353.0,2.003873179617186
353,354.0,2.003669914584239
354,355.0,2.003468268919713
355,356.0,2.003258214879387
356,357.0,2.0030518403148307
357,358.0,2.0028512846774627
358,359.0,2.002650401970026
359,360.0,2.002450092638066
360,361.0,2.0022536038772687
361,362.0,2.0020544989000646
362,363.0,2.001858099453563
363,364.0,2.001661584019474
364,365.0,2.0014720169605384
365,366.0,2.0012759540122884
366,367.0,2.001079615259468
367,368.0,2.000891498785601
368,369.0,2.00070540864666
369,370.0,2.000515741403014
370,371.0,2.000333174096417
371,372.0,2.0001551314613004
372,373.0,1.999978604269123
373,374.0,1.9998068812714458
374,375.0,1.9996382142624287
375,376.0,1.9994748454806597
376,377.0,1.9993148267506153
377,378.0,1.9991610469215595
378,379.0,1.9990097406344778
379,380.0,1.9988570453705037
380,381.0,1.9987114647486917
381,382.0,1.9985645536076273
382,383.0,1.998425980895727
383,384.0,1.998284811014047
384,385.0,1.9981531611658858
385,386.0,1.9980202588859162
386,387.0,1.9978902482757703
387,388.0,1.9977588394090524
388,389.0,1.9976323020382079
389,390.0,1.997506299464428
390,391.0,1.9973786970307157
391,392.0,1.9972582182850402
392,393.0,1.9971376673499652
393,394.0,1.9970203951121874
394,395.0,1.9969029519449042
395,396.0,1.9967938176335824
396,397.0,1.9966795810112725
397,398.0,1.996566210802055
398,399.0,1.996457179220926
399,400.0,1.9963551823636583
400,401.0,1.996245505851256
401,402.0,1.9961369908865656
402,403.0,1.9960331267740448
403,404.0,1.995923217442338
404,405.0,1.995821904414268
405,406.0,1.9957195131166885
406,407.0,1.9956171748676297
407,408.0,1.9955159177400645
408,409.0,1.9954187669123271
409,410.0,1.995327791819826
410,411.0,1.9952380758789556
411,412.0,1.9951499134268087
412,413.0,1.995067639004263
413,414.0,1.9949847856501624
414,415.0,1.994902507247641
415,416.0,1.994821413360302
416,417.0,1.9947408509259354
417,418.0,1.994658868733674
418,419.0,1.9945808466702295
419,420.0,1.9944804406008303
420,421.0,1.9943969184558512
421,422.0,1.9943133704515386
422,423.0,1.9942167166770528
423,424.0,1.9941269873345449
424,425.0,1.9940418549956498
425,426.0,1.9929505627736102
426,427.0,1.9926466875508744
427,428.0,1.9923244905228952
428,429.0,1.9923244905228952
429,430.0,1.9923244905228952
430,431.0,1.9922672764007896
431,432.0,1.992201306757145
432,433.0,1.9920318493983675
433,434.0,1.9919478113739981
434,435.0,1.991860741599826
435,436.0,1.991796453620927
436,437.0,1.9916107466789534
437,438.0,1.991487740609271
438,439.0,1.9914239365461774
439,440.0,1.991366303324768
440,441.0,1.9913173631597765
441,442.0,1.9912739509662418
442,443.0,1.9912306374604167
443,444.0,1.9911951197932662
444,445.0,1.991172505850813
445,446.0,1.9911330409668153
446,447.0,1.9910960018485084
447,448.0,1.9910588775908284
448,449.0,1.9910218064761707
449,450.0,1.9909889616290197
450,451.0,1.9909606518660403
451,452.0,1.990930162684227
452,453.0,1.9908904181509595
453,454.0,1.9908531050113425
454,455.0,1.9908098647816839
455,456.0,1.9907712803269404
456,457.0,1.9907263711875771
457,458.0,1.9904226349096763
458,459.0,1.9904226349096763
459,460.0,1.9903268386195745
460,461.0,1.9903268386195745
461,462.0,1.9903268386195745
462,463.0,1.9903268386195745
463,464.0,1.9903268386195745
464,465.0,1.9903093621271322
465,466.0,1.990305067461453
466,467.0,1.990273810524474
467,468.0,1.990250615708005
468,469.0,1.9902190004908742
469,470.0,1.9901876345410319
470,471.0,1.9901579572331713
471,472.0,1.9901308197814553
472,473.0,1.9901075137105706
473,474.0,1.990081281434426
474,475.0,1.9900604547386815
475,476.0,1.9900496793627667
476,477.0,1.990039580089761
477,478.0,1.9900342290090969
478,479.0,1.9900158173333733
479,480.0,1.9900047121734992
480,481.0,1.989999420762891
481,482.0,1.9899924940898859
482,483.0,1.9899829521543535
483,484.0,1.9899829521543535
484,485.0,1.9899734310422903
485,486.0,1.989961852157866
486,487.0,1.989951721996168
487,488.0,1.9899426282366828
488,489.0,1.989935136839734
489,490.0,1.9899292801748392
490,491.0,1.9899284919139137
491,492.0,1.989925683397998
492,493.0,1.989925683397998
493,494.0,1.989925683397998
